"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2017-2018",82,3925.6,3653,3860,-207,48.62,55.83,59,158,135,23,53.92,2.41,2.06,153.84,163.93,-10.09,48.41,2.35,2.51,271,223,-48,8.16,93.35,101.51
"ARI","2017-2018",82,4000.96,3742,4054,-312,48,56.12,60.8,138,164,-26,45.7,2.07,2.46,141.56,164.97,-23.41,46.18,2.12,2.47,213,223,10,7.28,92.15,99.43
"BOS","2017-2018",82,3932.75,3903,3351,552,53.8,59.55,51.12,164,137,27,54.49,2.5,2.09,157.55,137.02,20.53,53.48,2.4,2.09,255,263,8,7.82,92.34,100.16
"BUF","2017-2018",82,3936.74,3369,3712,-343,47.58,51.35,56.57,119,175,-56,40.48,1.81,2.67,126.82,154.68,-27.86,45.05,1.93,2.36,212,235,23,6.16,91.63,97.79
"CAR","2017-2018",82,4086.27,4257,3558,699,54.47,62.51,52.24,155,177,-22,46.69,2.28,2.6,176.38,155.64,20.74,53.12,2.59,2.29,186,214,28,7.04,90.97,98.01
"CBJ","2017-2018",82,4047.52,4036,3793,243,51.55,59.83,56.23,168,147,21,53.33,2.49,2.18,182.39,168.76,13.63,51.94,2.7,2.5,198,215,17,7.44,92.85,100.28
"CGY","2017-2018",82,3878.91,4156,3619,537,53.45,64.29,55.98,145,156,-11,48.17,2.24,2.41,168.73,151.93,16.8,52.62,2.61,2.35,275,275,0,6.79,91.92,98.71
"CHI","2017-2018",82,3940.41,4199,3821,378,52.36,63.94,58.18,156,173,-17,47.42,2.38,2.63,163.84,166.52,-2.68,49.59,2.49,2.54,214,261,47,7.08,91.82,98.9
"COL","2017-2018",82,3827.1,3487,3844,-357,47.57,54.67,60.26,151,139,12,52.07,2.37,2.18,126,146.22,-20.22,46.29,1.98,2.29,263,283,20,8.21,93.24,101.45
"DAL","2017-2018",82,3920.45,3722,3571,151,51.04,56.96,54.65,148,134,14,52.48,2.27,2.05,152.45,132.28,20.17,53.54,2.33,2.02,274,245,-29,7.69,92.73,100.42
"DET","2017-2018",81,3945.4,3531,3704,-173,48.8,53.7,56.33,146,164,-18,47.1,2.22,2.49,147.57,156.23,-8.66,48.57,2.24,2.38,221,212,-9,7.53,91.98,99.51
"EDM","2017-2018",82,4025.43,4016,3917,99,50.62,59.86,58.38,161,176,-15,47.77,2.4,2.62,181.14,174.8,6.34,50.89,2.7,2.61,248,200,-48,7.44,91.74,99.18
"FLA","2017-2018",82,3933.59,3762,3894,-132,49.14,57.38,59.4,166,167,-1,49.85,2.53,2.55,153.29,161.35,-8.06,48.72,2.34,2.46,262,295,33,7.71,92.32,100.03
"L.A","2017-2018",82,3936.97,3687,3680,7,50.05,56.19,56.08,151,134,17,52.98,2.3,2.04,142.67,154.57,-11.9,48,2.17,2.36,251,218,-33,7.8,93.09,100.88
"MIN","2017-2018",82,3954.03,3432,3842,-410,47.18,52.08,58.3,160,144,16,52.63,2.43,2.19,147.96,128.2,19.76,53.58,2.25,1.95,238,224,-14,8.19,92.72,100.91
"MTL","2017-2018",82,3937.49,3904,3828,76,50.49,59.49,58.33,131,157,-26,45.49,2,2.39,159.48,151.76,7.72,51.24,2.43,2.31,263,251,-12,6.38,92.19,98.57
"N.J","2017-2018",82,3906.5,3555,3756,-201,48.63,54.6,57.69,158,166,-8,48.77,2.43,2.55,162.61,160.51,2.1,50.32,2.5,2.47,231,240,9,7.91,91.73,99.64
"NSH","2017-2018",82,3851.35,3850,3623,227,51.52,59.98,56.44,167,128,39,56.61,2.6,1.99,154.19,148.54,5.65,50.93,2.4,2.31,296,248,-48,8.19,93.55,101.74
"NYI","2017-2018",82,3993.94,3723,4120,-397,47.47,55.93,61.89,176,188,-12,48.35,2.64,2.82,155.22,175.96,-20.74,46.87,2.33,2.64,220,221,1,8.84,91.71,100.55
"NYR","2017-2018",82,3991.58,3532,4163,-631,45.9,53.09,62.58,150,182,-32,45.18,2.25,2.74,166.18,186.5,-20.32,47.12,2.5,2.8,235,225,-10,7.55,92.18,99.72
"OTT","2017-2018",82,3966.02,3661,4108,-447,47.12,55.39,62.15,150,197,-47,43.23,2.27,2.98,142.62,168.29,-25.67,45.87,2.16,2.55,209,236,27,7.69,90.84,98.53
"PHI","2017-2018",82,3966.05,3639,3669,-30,49.79,55.05,55.51,157,143,14,52.33,2.38,2.16,150.99,147.75,3.24,50.54,2.28,2.24,226,269,43,7.88,92.48,100.36
"PIT","2017-2018",82,3916,3943,3607,336,52.23,60.41,55.27,162,175,-13,48.07,2.48,2.68,173.5,155.8,17.7,52.69,2.66,2.39,270,264,-6,7.29,91.03,98.33
"S.J","2017-2018",82,3993.35,4045,3918,127,50.8,60.78,58.87,156,164,-8,48.75,2.34,2.46,170.45,157.83,12.62,51.92,2.56,2.37,200,223,23,7.5,91.64,99.13
"STL","2017-2018",82,3989.82,3896,3636,260,51.73,58.59,54.68,150,137,13,52.26,2.26,2.06,144.89,136.67,8.22,51.46,2.18,2.06,218,239,21,7.17,92.87,100.04
"T.B","2017-2018",82,3888.38,3865,3622,243,51.62,59.64,55.89,195,146,49,57.18,3.01,2.25,154.87,138.67,16.2,52.76,2.39,2.14,267,268,1,9.35,92.93,102.28
"TOR","2017-2018",82,4015.07,3941,3963,-22,49.86,58.89,59.22,186,158,28,54.07,2.78,2.36,179.09,171.37,7.72,51.1,2.68,2.56,206,200,-6,9.01,92.81,101.82
"VAN","2017-2018",81,3920.53,3451,3787,-336,47.68,52.81,57.96,137,162,-25,45.82,2.1,2.48,137.47,157.69,-20.22,46.57,2.1,2.41,230,208,-22,7.21,92.15,99.36
"VGK","2017-2018",82,3920.4,3819,3675,144,50.96,58.45,56.24,171,153,18,52.78,2.62,2.34,151.99,147.94,4.05,50.68,2.33,2.26,209,233,24,8.38,92.19,100.57
"WPG","2017-2018",82,3901.28,3810,3588,222,51.5,58.6,55.18,174,144,30,54.72,2.68,2.21,156.54,139.99,16.55,52.79,2.41,2.15,251,235,-16,8.53,92.54,101.07
"WSH","2017-2018",82,3954.08,3609,3912,-303,47.99,54.76,59.36,169,153,16,52.48,2.56,2.32,149.14,169.01,-19.87,46.88,2.26,2.56,266,232,-34,9.14,92.47,101.61
